Date,Time,Month,epoch_format,zigduino-3:humidity,zigduino-3:temperature,zigduino-4:humidity,zigduino-4:temperature
2020-01-15,00:00:00,1,1579046400000.0,10.667486851247954,20.46042045890094,1.0,22.143732142739303
2020-01-15,02:00:00,1,1579053600000.0,10.670172466266845,20.334833194089125,1.0,22.04569943826156
2020-01-15,04:00:00,1,1579060800000.0,10.368994544722929,20.527429638462603,1.0,22.89671863705158
2020-01-15,06:00:00,1,1579068000000.0,10.14741261024459,20.86487166742141,1.0,23.479301558555957
2020-01-15,08:00:00,1,1579075200000.0,9.357395277659366,21.62419530514188,1.0,23.74960042931826
2020-01-15,10:00:00,1,1579082400000.0,9.333277206436946,21.98737893006257,1.0,23.836713283658405
2020-01-15,12:00:00,1,1579089600000.0,10.388998754996434,21.97219187961589,1.0,24.59295326228096
2020-01-15,14:00:00,1,1579096800000.0,10.781973095766675,22.057720035076343,1.0,24.316659772501406
2020-01-15,16:00:00,1,1579104000000.0,10.787649943606366,21.918366932803742,1.0,24.12027817069356
2020-01-15,18:00:00,1,1579111200000.0,11.55999143493742,21.419225833974668,1.0,23.0298905519061
2020-01-15,20:00:00,1,1579118400000.0,11.76015983552656,21.04518317614577,1.0,22.50290221927294
2020-01-15,22:00:00,1,1579125600000.0,12.033039032447729,20.821471821396884,1.0,22.21464043401799
2020-01-16,00:00:00,1,1579132800000.0,12.17814465616248,20.68857875249443,1.0,22.062053244706707
2020-01-16,02:00:00,1,1579140000000.0,12.296634316795457,20.601556971336947,1.0,21.977955321880465
2020-01-16,04:00:00,1,1579147200000.0,12.29038694780516,20.7699200141114,1.0,22.88043750430738
2020-01-16,06:00:00,1,1579154400000.0,11.97734544053517,21.097076277197235,1.0,23.53727378251425
2020-01-16,08:00:00,1,1579161600000.0,12.277929797213678,21.4954134056048,1.0,23.96293633316162
2020-01-16,10:00:00,1,1579168800000.0,13.005132517094466,21.816281218763454,1.0,24.578544554913
2020-01-16,12:00:00,1,1579176000000.0,13.114429920824024,22.085822717251776,1.0,24.6041228567596
2020-01-16,14:00:00,1,1579183200000.0,13.839377345485149,22.05069434567565,1.0,24.15355528870399
2020-01-16,16:00:00,1,1579190400000.0,13.13655875017024,22.09474163191831,1.0,24.33941917595965
2020-01-16,18:00:00,1,1579197600000.0,12.82339578905834,21.70477607569744,1.0,23.482120052525413
2020-01-16,20:00:00,1,1579204800000.0,12.412873038635768,21.381888486680037,1.0,23.144973070419883
2020-01-16,22:00:00,1,1579212000000.0,12.230241883415278,21.199306502477604,1.0,22.89478293897527
2020-01-17,00:00:00,1,1579219200000.0,11.727050846245891,21.049516385776133,1.0,22.79930524374784
2020-01-17,02:00:00,1,1579226400000.0,11.222843984620733,20.941102005024145,1.0,22.70063154728512
2020-01-17,04:00:00,1,1579233600000.0,10.607109742250872,21.0939842933459,1.0,23.46617582037913
