Date,Time,Month,epoch_format,zigduino-3:humidity,zigduino-3:temperature,zigduino-4:humidity,zigduino-4:temperature
2020-01-24,08:00:00,1,1579852800000.0,3.9122869571635226,20.693772337448213,1.0,23.83861988414272
2020-01-24,10:00:00,1,1579860000000.0,4.075557407833319,21.19810682512604,1.0,24.09253295710672
2020-01-24,12:00:00,1,1579867200000.0,5.030900298721609,21.33245685916013,1.0,24.32025629941485
2020-01-24,14:00:00,1,1579874400000.0,5.847433677780864,21.00664705943299,1.0,24.187400400613505
2020-01-24,16:00:00,1,1579881600000.0,6.340618427530978,21.072549389850003,1.0,24.01287348750864
2020-01-24,18:00:00,1,1579888800000.0,5.911083100295844,20.73545749074653,1.0,22.954185579321592
2020-01-24,20:00:00,1,1579896000000.0,5.7901978595045165,20.22280201893872,1.0,22.618994905008805
2020-01-24,22:00:00,1,1579903200000.0,5.834497420487907,20.000757259935405,1.0,22.39953684856975
2020-01-25,00:00:00,1,1579910400000.0,6.0653627140915605,19.82958950680513,1.0,22.196592640264925
2020-01-25,02:00:00,1,1579917600000.0,6.383066960729167,19.691439391887634,1.0,22.0446058483906
2020-01-25,04:00:00,1,1579924800000.0,6.635057705057909,19.586162263487164,1.0,21.942574454898537
2020-01-25,06:00:00,1,1579932000000.0,6.707698620413852,19.490450110814628,1.0,21.83904019453268
2020-01-25,08:00:00,1,1579939200000.0,6.943301800949466,19.404920772949605,1.0,21.750021034597
2020-01-25,10:00:00,1,1579946400000.0,7.754101876807303,19.398190608684587,1.0,21.672576893867628
2020-01-25,12:00:00,1,1579953600000.0,8.525410200399062,19.474779037151407,1.0,21.677009509900664
2020-01-25,14:00:00,1,1579960800000.0,9.128664574086605,19.44818066457594,1.0,21.55302923047648
2020-01-25,16:00:00,1,1579968000000.0,9.483045791446235,19.391206989280303,1.0,21.472843817316488
2020-01-25,18:00:00,1,1579975200000.0,9.377071862868718,19.31295679595524,1.0,21.40374306078088
2020-01-25,20:00:00,1,1579982400000.0,8.84027339923269,19.261703291450765,1.0,21.402523818314958
2020-01-25,22:00:00,1,1579989600000.0,8.21451422804085,19.182142049462843,1.0,21.40020992427469
2020-01-26,00:00:00,1,1579996800000.0,8.28897996816224,19.10374382372033,1.0,21.398064398695357
