zigduino-3:temperature,Date,Time
1.0,2020-04-10,16:00:00
1.0,2020-04-10,18:00:00
1.0,2020-04-10,20:00:00
1.0,2020-04-10,22:00:00
1.0,2020-04-11,00:00:00
1.0,2020-04-11,02:00:00
1.0,2020-04-11,04:00:00
1.0,2020-04-11,06:00:00
1.0,2020-04-11,08:00:00
1.0,2020-04-11,10:00:00
1.0,2020-04-11,12:00:00
1.0,2020-04-11,14:00:00
1.0,2020-04-11,16:00:00
1.0,2020-04-11,18:00:00
1.0,2020-04-11,20:00:00
1.0,2020-04-11,22:00:00
1.0,2020-04-12,00:00:00
1.0,2020-04-12,02:00:00
1.0,2020-04-12,04:00:00
1.0,2020-04-12,06:00:00
1.0,2020-04-12,08:00:00
1.0,2020-04-12,10:00:00
1.0,2020-04-12,12:00:00
1.0,2020-04-12,14:00:00
1.0,2020-04-12,16:00:00
1.0,2020-04-12,18:00:00
1.0,2020-04-12,20:00:00
1.0,2020-04-12,22:00:00
1.0,2020-04-13,00:00:00
1.0,2020-04-13,02:00:00
1.0,2020-04-13,04:00:00
1.0,2020-04-13,06:00:00
1.0,2020-04-13,08:00:00
1.0,2020-04-13,10:00:00
1.0,2020-04-13,12:00:00
1.0,2020-04-13,14:00:00
1.0,2020-04-13,16:00:00
1.0,2020-04-13,18:00:00
1.0,2020-04-13,20:00:00
1.0,2020-04-13,22:00:00
1.0,2020-04-14,00:00:00
1.0,2020-04-14,02:00:00
1.0,2020-04-14,04:00:00
1.0,2020-04-14,06:00:00
1.0,2020-04-14,08:00:00
1.0,2020-04-14,10:00:00
1.0,2020-04-14,12:00:00
1.0,2020-04-14,14:00:00
1.0,2020-04-14,16:00:00
1.0,2020-04-14,18:00:00
1.0,2020-04-14,20:00:00
1.0,2020-04-14,22:00:00
1.0,2020-04-15,00:00:00
1.0,2020-04-15,02:00:00
1.0,2020-04-15,04:00:00
1.0,2020-04-15,06:00:00
1.0,2020-04-15,08:00:00
1.0,2020-04-15,10:00:00
1.0,2020-04-15,12:00:00
1.0,2020-04-15,14:00:00
1.0,2020-04-15,16:00:00
1.0,2020-04-15,18:00:00
1.0,2020-04-15,20:00:00
1.0,2020-04-15,22:00:00
1.0,2020-04-16,00:00:00
1.0,2020-04-16,02:00:00
1.0,2020-04-16,04:00:00
1.0,2020-04-16,06:00:00
1.0,2020-04-16,08:00:00
1.0,2020-04-16,10:00:00
1.0,2020-04-16,12:00:00
1.0,2020-04-16,14:00:00
1.0,2020-04-16,16:00:00
1.0,2020-04-16,18:00:00
1.0,2020-04-16,20:00:00
1.0,2020-04-16,22:00:00
1.0,2020-04-17,00:00:00
1.0,2020-04-17,02:00:00
1.0,2020-04-17,04:00:00
1.0,2020-04-17,06:00:00
1.0,2020-04-17,08:00:00
